GID,SYM_NAME,SYM_SCALE,SYM_ANGLE,COMMENTS,TAG_VALUE,INCIDENT,JOB_NO,EVENT_DATE,DURATION,ASSET_CODE,CATEGORY,EVENT_TYPE,WS_GID,WS_Tolerance,FailYear,FinancialFailYear
24149977, ,0,0, , ,3,36963,2015-12-22,, ,WATER,Unplanned,11128697,1m,2015,2015
24150147, ,0,0, , ,3,36971,2015-12-24,, ,WATER,Unplanned,13656584,1m,2015,2015
24150266, ,0,0, , ,4,36987,2015-12-29,, ,WATER,Unplanned,11515384,1m,2015,2015
21616014, ,0,0, , ,3,30225,2013-07-31,30, ,WATER,Unplanned,11567716,1m,2013,2013
22532808, ,0,0, , ,3,32220,2014-07-13,115, ,WATER,Unplanned,2827083,1m,2014,2014
22580779, ,0,0, , ,4,32383,2014-07-23,, ,WATER,Unplanned,21437808,1m,2014,2014
22580781, ,0,0, , ,3,32384,2014-07-24,, ,WATER,Unplanned,11280270,1m,2014,2014
22580782, ,0,0, , ,4,32385,2014-07-25,, ,WATER,Unplanned,10102754,1m,2014,2014
22580783, ,0,0, , ,3,32386,2014-07-25,, ,WATER,Unplanned,337972,1m,2014,2014
22580784, ,0,0, , ,4,32387,2014-07-26,, ,WATER,Unplanned,10155052,1m,2014,2014
22580785, ,0,0, , ,4,32388,2014-07-28,, ,WATER,Unplanned,335505,1m,2014,2014
22580786, ,0,0, , ,4,32389,2014-07-25,, ,WATER,Unplanned,10155052,1m,2014,2014
22580787, ,0,0, , ,4,32390,2014-07-28,, ,WATER,Unplanned,10103586,1m,2014,2014
22580788, ,0,0, , ,4,32391,2014-07-18,, ,WATER,Unplanned,20452644,1m,2014,2014
22580789, ,0,0, , ,4,32392,2014-07-18,, ,WATER,Unplanned,20452397,1m,2014,2014
22580790, ,0,0, , ,4,32393,2014-07-16,, ,WATER,Unplanned,20452644,1m,2014,2014
22630239, ,0,0, , ,3,32747,2014-09-24,45, ,WATER,Unplanned,351371,1m,2014,2014
23481837, ,0,0, , ,4,35130,2015-07-17,38, ,WATER,Unplanned,2818555,1m,2015,2015
23559692, ,0,0, , ,4,35575,2015-08-28,50, ,WATER,Unplanned,335465,1m,2015,2015
23895587, ,0,0, , ,4,36267,2015-10-20,, ,WATER,Unplanned,11501143,1m,2015,2015
24049808, ,0,0, , ,4,36785,2015-11-27,, ,WATER,Unplanned,338861,1m,2015,2015
24150263, ,0,0, , ,3,36984,2015-12-28,, ,WATER,Unplanned,350017,1m,2015,2015
21535580, ,0,0, , ,3,30142,2013-07-10,, ,WATER,Unplanned,11033669,1m,2013,2013
21535579, ,0,0, , ,4,30141,2013-07-09,, ,WATER,Unplanned,13526654,2m,2013,2013
21662182, ,0,0, , ,4,30264,2013-08-03,65, ,WATER,Unplanned,10097370,1m,2013,2013
22580778, ,0,0, , ,3,32382,2014-07-25,, ,WATER,Unplanned,11004151,1m,2014,2014
22725641, ,0,0, , ,4,32941,2014-10-24,40, ,WATER,Unplanned,352225,1m,2014,2014
23510342, ,0,0, , ,4,35462,2015-08-16,, ,WATER,Unplanned,10079807,1m,2015,2015
23947740, ,0,0, , ,4,36440,2015-11-02,, ,WATER,Unplanned,13500594,1m,2015,2015
24100125, ,0,0, , ,4,36860,2015-12-11,19, ,WATER,Unplanned,335565,1m,2015,2015
21616013, ,0,0, , ,4,30224,2013-08-01,, ,WATER,Unplanned,10099273,1m,2013,2013
21967479, ,0,0, , ,3,30774,2013-11-13,101, ,WATER,Unplanned,23651251,1m,2013,2013
22581308, ,0,0, , ,4,32488,2014-08-11,61, ,WATER,Unplanned,335590,5m,2014,2014
